0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,2,2,1,2,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,2,1,1,1,0,0,7,0,0,2,0,2,3,0,1,0,2,0,1,0,0,0,0,1,0,1,3,0,0,2,0,1,2,0,0,0,1,2,2,0,1,0,0,0,0,0,0,2,0,1,0,2,1,3,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,2,0,0,1,0,0,0,0,0,2,0,2,0,0,1,0,4,0,3,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,1,1,0,0,2,1,1,1,1,0,3,0,1,0,0,1,1,2,0,0,1,2,0,0,0,1,2,0,2,0,0,0,0,2,1,0,2,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,4,1,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,1,0,4,0,1,0,0,0,2,0,0,1,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,3,0,1,0,1,0,1,0,0,0,11,1,0,0,0,1,4,0,1,0,4,1,2,0,0,0,0,0,3,0,4,1,3,0,0,0,0,1,1,0,2,0,4,1,0,0,0,0,0,0,0,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,4,1,0,0,1,0,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,3,0,0,0,0,0,1,0,0,3,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,2,1,0,0,0,0,7,0,0,0,0,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,2,1,1,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,3,0,1,0,0,0,0,1,0,0,0,2,0,0,0,2,1,0,1,0,0,0,0,5,2,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1
1,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,1,3,0,0,0,0,0,0,1,1,1,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,2,0,1,4,1,1,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,4,0,0,0,4,0,0,0,2,4,0,4,0,0,0,0,1,1,0,3,0,0,1,2,0,0,2,1,0,0,1,0,1,1,0,0,0,4,0,1,0,0,1,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,1,2,0,1,0,0,0,5,0,0,0,0,2,2,0,3,1,2,0,0,1,0,0,0,1,2,1,2,0,0,1,0,0,2,0,0,0,2,0,2,1,0,0,0,0,1,0,1,2,4,0,0,2,0,2,0,0,2,1,0,0,1,1,0,0,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1
0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,3,0,0,3,0,0,0,0,1,2,0,0,0,4,0,1,1,0,0,1,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,5,0,0,0,1,0,1,0,0,1,10,0,0,0,0,1,0,0,1,1,3,0,0,2,0,1,0,1,1,0,3,0,1,0,1,0,1,0,2,1,0,5,3,0,0,0,1,0,0,0,1,3,7,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,5,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,2,3,1,1,0,1,4,0,0,2,0,0,0,1,0,1,0,1,0,0,3,0,1,0,3,0,0,0,0,1,2,0,2,1,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,3,0,1,0,0,2,0,0,0,0,0,0,0,2,1,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,2,1,0,0,0,3,2,0,1,2,0,1,0,0,0,9,0,1,0,0,1,1,0,0,2,4,0,0,0,1,0,0,1,1,0,3,2,2,0,0,1,1,0,0,0,0,1,3,0,0,0,0,0,0,0,1,3,4,1,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,2,0,2,0,3,0,0,1,0,1,1,0,0,0,0,3,1,0,0,0,4,0,4,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,1,1,0,0,0,0,2,0,0,2,0,0,0,0,0,1,2,0,0,3,1,0,0,0,1,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,1,0,0,1,0,0,0,2,0,2,1,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,4,1,0,0,0,1,7,1,1,1,0,2,1,0,1,2,3,0,0,1,0,0,0,0,0,1,2,0,0,1,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,2,1,0,2,0,4,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,1,0,2,0,0,0,0,0,1,3,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,3,0,2,0,0,0,2,2,0,1,1,4,1,0,0,3,2,0,2,0,0,0,0,2,0,0,0,0,1,1,3,1,1,0,0,0,0,3,1,1,1,1,0,0,3,0,1,0,1,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,3,0,0,0,0,3,2,0,0,1,1,0,0,0,1,0,0,1,0,1,2,0,1,0,0,2,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,2,0,0,2,0,3,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,2,4,2,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,1,0,0,0,0,1,3,0,0,2,0,0,0,0,0,0,0,0,2,4,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2,0,0,3,1,0,0,2,0,1,1,4,0,0,1,0,3,0,0,0,0,0,0,1,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,2
0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,1,3,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,2,1,1,0,1,2,0,2,0,2,3,0,0,1,1,2,0,2,0,0,0,0,1,0,1,1,1,2,1,0,1,3,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,3,0,0,4,0,3,1,0,0,0,0,0,0,1,0,0,2,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,9,0,3,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,2,4,1,0,0,0,0,0,2,0,0,0,0,1,1,3,1,0,0,5,0,1,1,2,3,0,0,0,1,0,0,2,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,4
0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,1,0,3,0,0,1,5,0,0,0,1,2,0,0,0,0,3,0,0,0,0,0,0,0,1,1,2,0,1,1,0,0,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0,3,2,0,0,1,0,2,0,1,2,2,1,0,0,0,0,0,0,1,0,1,0,2,0,1,0,0,2,0,0,0,0,0,1,2,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,3,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,2,0,1,0,0,0,0,2,1,0,1,0,1,0,2,0,0,0,0,0,1,1,1,0,0,0,1,0,3,0,0,0,1,0,2
0,1,0,0,0,0,0,1,2,0,0,1,0,2,0,0,0,0,2,0,0,3,2,0,0,0,1,1,2,0,1,2,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,1,0,1,0,0,0,0,7,0,0,0,1,2,0,0,0,0,4,0,0,0,1,0,0,1,2,0,3,0,0,0,0,0,2,0,1,0,0,0,2,1,0,0,0,0,0,0,1,3,4,2,0,1,0,2,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,3,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,3,0,2,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,2,1,0,4,1,1,0,0,0,0,0,0,0,2,2,0,1,4,0,0,0,1,0,0,0,0,1,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,1,2,0,2,0,0,0,7,0,1,0,0,1,5,0,3,1,3,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,1,0,0,0,3,1,2,0,0,0,0,0,0,0,0,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,3,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,2,0,1,0,0,3,3,0,1,2,0,0,0,1,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,2,2,0,2,0,1,0,0,0,0,2,0,0,0,2,1,1
0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,1,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,3,0,0,1,2,0,0,0,0,0,11,1,0,0,0,1,3,0,0,0,4,0,0,2,1,0,0,3,1,0,3,0,1,0,0,1,1,0,1,0,2,1,3,0,0,0,0,0,1,0,0,3,5,0,0,1,2,1,0,0,2,0,0,0,0,0,0,0,0,3,0,1,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,3,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2,2,0,0,0,1,3,0,2,0,0,1,1,2,0,0,0,2,0,0,0,0,1,0,1,1,0,0,0,2,1,0,1,1,1,3,0,3,0,0,0,0,3,5,0,0,0,1,0,0,4,0,0,0,0,0,1
1,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,1,0,3,0,0,1,3,0,0,0,0,3,0,0,0,4,1,0,1,0,1,2,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,1,0,0,3,0,1,0,0,0,12,2,0,0,0,0,4,0,1,0,4,0,0,2,1,0,0,4,0,1,3,1,2,0,0,0,0,0,1,0,0,3,5,0,0,0,0,0,0,0,2,4,7,0,0,3,2,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0,2,1,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,1,3,0,1,3,2,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,4,2,0,0,0,0,4,0,1,7,0,0,0,1,0,0,0,0,1,0,3,0,1,0,1,1,0,0,1,3,2,0,0,0,1,0,0,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,3,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,1,0,0,0,0,4,0,3,0,0,1,3,0,0,0,3,0,0,1,0,0,0,2,2,0,3,0,1,0,0,0,1,0,0,0,2,0,3,0,0,0,0,0,0,0,0,3,2,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,2,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,3,0,0,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,2,0,0,0,6,1,0,0,0,2,3,0,1,0,3,0,2,1,0,0,0,0,2,0,2,0,0,0,0,1,2,0,0,0,1,0,2,0,0,0,0,0,1,0,0,2,0,0,0,2,2,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,3,1,0,0,0,2,2,1,0,0,4,1,0,0,0,2,1,1,2,1,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,2,0,0,1,0,0,2,0,1,0,0,0,1,2,0,0,1,4,0,0,1,2,2,2,2,0,0,0,0,2,4,0,0,0,0,0,1,2,0,0,0,0,2,3,0,1,0,0,0,1,2,0,0,0,1,1,2
0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,2,0,0,2,1,1,0,1,0,9,2,0,0,5,0,1,4,1,0,0,0,0,0,1,0,1,2,4,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,14,1,1,1,0,0,3,0,1,1,5,0,0,1,1,0,0,5,1,0,3,0,2,0,0,0,0,0,0,0,1,1,4,2,0,0,0,0,0,0,0,4,9,0,0,0,2,0,0,0,2,1,0,2,0,0,0,0,0,2,0,1,0,5,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,4,0,1,1,0,0,4,0,1,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,3,1,1,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,3,0,0,0,0,2,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,5,1,0,0,3,0,1,3,0,0,14,4,5,3,0,0,5,0,1,0,4,0,0,0,2,0,0,6,1,0,4,1,2,0,0,0,0,0,1,0,2,0,4,2,0,0,1,0,0,0,0,4,10,2,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,0,1,0,0,4,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,3,0,0,0,0,2,0,0,1,0,0,1,0,1,2,1,0,0,0,0,0,0,1,0,1,0,0,0
0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,1,2,2,1,2,0,0,8,0,0,0,1,1,1,0,1,0,4,0,0,3,0,0,0,2,1,0,3,2,0,0,0,1,2,0,0,0,1,0,3,0,0,0,0,0,0,0,0,3,2,0,0,1,2,1,0,0,2,1,0,1,4,0,0,0,0,2,0,2,0,3,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,2,0,1,0,0,0,0,0,0,1,0,1,0,3,0,0,2,1,1,1,0,3,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2,1,0,0,0,0,1,0,0,0,0,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,3,1,0,0,0,2,0,0,0,0,4,0,0,1,2,0,0,0,1,2,2,1,1,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,1,0,1,1,0,1,10,2,0,0,0,0,0,0,0,1,5,0,0,1,0,0,1,1,0,0,2,0,1,0,0,0,1,1,2,0,0,0,4,0,0,0,0,0,0,0,1,4,6,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,4,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,2,0,0,1,0,0,1,1,0,0,0,1,0,0,3,0,0,3,0,0,1,0,0,2,0,1,0,0,0,0,0,0,1,0,0,1,0,1,2,0,0,0,2,0,0,1,3,1,1,0,0,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
1,1,0,1,0,1,0,0,0,0,3,1,0,1,0,0,0,0,0,0,3,1,0,1,0,0,0,3,0,0,3,2,0,0,1,0,0,1,0,0,0,0,1,0,1,4,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,1,0,0,1,0,1,2,0,0,7,0,0,0,0,2,2,2,1,0,2,0,2,2,1,0,1,0,0,2,4,0,0,0,0,4,2,2,0,0,1,0,2,1,1,1,0,2,0,0,1,2,3,0,0,2,0,3,0,0,2,0,0,2,3,0,1,0,0,1,0,2,0,3,0,0,0,0,0,2,2,0,0,0,1,1,0,1,0,2,0,2,0,0,0,0,1,0,2,1,0,4,1,0,2,1,1,1,0,2,1,0,0,0,0,0,2,2,0,0,0,1,0,0,0,1,2,0,0,0,1,0,4,0,1,0,0,0,0,4,1,0,0,3,0,0,0,1,2,0,1,1,0,0,0,2,0,1,0,0,1,0,2,0,0,0,0,0,0,3,1,0,1,0,1,1,2,0,0,0,0,0,2
0,0,0,0,0,2,1,0,0,0,1,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,3,1,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,0,2,0,1,0,0,0,5,0,0,2,0,1,1,0,1,0,3,0,0,3,0,0,0,3,0,1,2,0,1,0,0,2,2,0,0,0,1,0,2,0,1,0,0,0,0,0,0,3,2,0,0,1,1,2,0,0,1,0,1,0,0,0,0,0,0,2,0,1,2,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,3,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,2,0,6,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2,2,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0,0,7,1,0,0,0,2,1,0,0,1,4,0,0,0,0,0,0,1,3,0,3,0,0,0,0,0,1,0,0,0,1,3,3,1,0,0,0,0,0,0,0,4,2,0,0,1,2,1,0,0,1,1,0,0,1,0,0,1,0,2,0,0,0,3,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,3,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,2,0,1,0,2,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
0,0,1,0,0,0,1,0,3,0,0,0,1,2,1,0,0,0,1,0,0,4,1,0,0,0,0,2,2,1,0,3,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,4,1,0,0,2,2,0,1,0,0,6,0,1,1,2,1,1,0,2,1,4,1,0,1,1,0,0,0,1,1,3,0,2,0,0,0,2,0,1,0,0,0,3,0,0,0,4,0,0,0,0,3,2,1,0,3,0,2,0,0,3,0,0,1,0,0,0,0,0,2,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,5,0,0,0,0,0,0,1,0,0,0,3,0,0,3,0,2,2,0,0,1,0,5,0,0,2,0,0,0,0,0,1,0,1,4,3,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,2,0,0,0,0,1,0,1,0,0,0,1,4,1,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,2,1,0,0,0,0,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,4,0,0,0,0,2,3,0,0,0,2,0,0,1,0,0,0,1,2,1,2,1,0,0,0,1,2,1,0,0,2,0,2,1,0,0,0,0,0,0,0,2,2,0,2,2,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,1,0,1,2,2,0,0,0,1,0,0,0,0,4,2,3,0,0,0,0,1,1,0,0,0,0,1,0,0,2,1,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,1,0,0,1,3,0,0,0,0,0,0,2,0,0,0,2,1,0,0,2,2,0,3,1,1,0,0,2,0,0,1,0,2,0,1,1,0,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,1
1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,4,0,0,0,2,0,1,0,0,0,6,1,0,1,2,2,1,0,0,1,2,0,0,1,2,0,0,1,1,1,0,1,0,0,0,0,2,0,0,0,1,1,2,0,0,0,0,0,0,2,0,2,4,0,0,2,1,2,0,0,2,1,0,0,1,0,0,0,1,1,0,1,0,2,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,5,0,2,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,1,2,1,2,0,0,0,0,3,0,1,2,1,0,2,3,0,0,0,3,0,0,0,1,2,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3,0,0,0,0,0,1,0,1,0,0,4,0,0,0,0,0,2
